単語,読み方
残高,ざんだか
毀損,きそん
毛繕い,けづくろい
毬,まり
気晴らし,きばらし
水瓶座,みずがめざ
氷柱,つらら
氷点下,ひょうてんか
汎用,はんよう
汐,しお
江崎玲於奈,えさきれおな
汽笛,きてき
沈殿,ちんでん
沈黙,ちんもく
河川,かせん
治外法権,ちがいほうけん
沿う,そう
沿道,えんどう
波照間島,はてるまじま
泥酔,でいすい
注釈,ちゅうしゃく
洗浄,せんじょう
活かす,いかす
派遣,はけん
派閥,はばつ
浪費,ろうひ
浮腫む,むくむ
海原,うなばら
浸かる,つかる
浸す,ひたす
浸る,ひたる
涅槃,ねはん
消耗,しょうもう
淀む,よどむ
深入り,ふかいり
淵,ふち
淹れる,いれる
清澄白河,きよすみしらかわ
渇望,かつぼう
減衰,げんすい
渦中,かちゅう
温厚,おんこう
渾身,こんしん
湿布,しっぷ
準える,なぞらえる
溝の口,みぞのくち
溢れる,あふれる／こぼれる
溶接,ようせつ
溺れる,おぼれる
溺死,できし
滅,めつ
滅ぶ,ほろぶ
滑稽,こっけい
滞る,とどこおる
漁る,あさる
漂う,ただよう
漏洩,ろうえい
漏電,ろうでん
演算子,えんざんし
潔い,いさぎよい／いさぎいい
潔白,けっぱく
潜む,ひそむ
潜在,せんざい
潮汐,ちょうせき
澄む,すむ
澱む,よどむ
激励,げきれい
激昂,げっこう
濁る,にごる
瀕死,ひんし
瀬戸際,せとぎわ
火種,ひだね
灯台,とうだい
災い,わざわい
炎,ほのお
炎天下,えんてんか
炭火,すみび
焙煎,ばいせん
焚く,たく
無垢,むく
無性に,むしょうに
無洗米,むせんまい
無謀,むぼう
焦らす,じらす
煌めく,きらめく
照合,しょうごう
煩わしい,わずらわしい
熱燗,あつかん
熾烈,しれつ
燦然,さんぜん
爬虫類,はちゅうるい
牡牛座,おうしざ
牡羊座,おひつじざ
牢屋,ろうや
物色,ぶっしょく
特徴,とくちょう
牽制,けんせい
狂牛病,きょうぎゅうびょう
狛犬,こまいぬ
狩猟,しゅりょう
独り占め,ひとりじめ
独占,どくせん
独楽,こま
狼,おおかみ
猟奇,りょうき
猫糞,ねこばば
献血,けんけつ
猶予,ゆうよ
獅子座,ししざ
獣,けもの／けだもの
獺祭,だっさい
率いる,ひきいる
率先,そっせん
珍味,ちんみ
珪藻土,けいそうど
琥珀,こはく
瓜,うり
甘味処,あまみどころ
生き霊,いきりょう
生け贄,いけにえ
生死,せいし
生殖,せいしょく
生涯,しょうがい
甥,おい
用心,ようじん
由緒,ゆいしょ
甲冑,かっちゅう
甲斐性,かいしょう
画一的,かくいつてき
画鋲,がびょう
界隈,かいわい
疎,そ
疎か,おろそか／おろか
疼く,うずく
疼痛,とうつう
疾病,しっぺい
痕,<div>あと<br></div>
痕跡,こんせき
痙攣,けいれん
発汗,はっかん
発足,ほっそく
百草,もぐさ
百貨店,ひゃっかてん
的を射る,まとをいる
的外れ,まとはずれ
皆勤賞,かいきんしょう
皇后,こうごう
皇帝,こうてい
皮蛋,ピータン
目論見,もくろみ
盲腸,もうちょう
直向き,ひたむき
直箸,じかばし
相互,そうご
相俟って,あいまって
相応しい,ふさわしい
相模,さがみ
眉間,みけん
真摯,しんし
真空,しんくう
眩む,くらむ
眼差し,まなざし
睨む,にらむ
睾丸,こうがん
瞳,ひとみ
知床,しれとこ
短冊,たんざく
短針,たんしん
石窯焼き,いしがまやき
石膏,せっこう
研ぐ,とぐ
砕ける,くだける
破傷風,はしょうふう
破壊,はかい
破天荒,はてんこう
破片,はへん
破綻,はたん
硝子,ガラス
硬直,こうちょく
碑,いしぶみ
確り,しっかり
磁石,じしゃく
礎,いしずえ
示す,しめす
示唆,しさ
祀る,まつる
祈祷,きとう
祟る,たたる
祠,ほこら
禁忌,きんき
禊,みそぎ
福神漬け,ふくじんづけ
移植,いしょく
稀,まれ
稚拙,ちせつ
稲,いね
稲光,いなびかり
稲妻,いなずま
稼働,かどう
穀物,こくもつ
空襲,くうしゅう
窒素,ちっそ
窮地,きゅうち
立替金,たてかえきん
竜田揚げ,たつたあげ
竹刀,しない
筆跡,ひっせき
筆頭,ひっとう
筵,むしろ
箇所,かしょ
箒,ほうき
箕面,みのお
算盤,そろばん
節目,ふしめ
範疇,はんちゅう
築く,きずく
簡潔,かんけつ
粒子,りゅうし
粘土,ねんど
粘膜,ねんまく
粟倉,あわくら
精製,せいせい
糸口,いとぐち
納める,おさめる
納税,のうぜい
紐,ひも
純真,じゅんしん
紛れる,まぎれる
紛争,ふんそう
素朴,そぼく
素面,しらふ
細うで繁盛記,ほそうではんじょうき
終焉,しゅうえん
組織,そしき
組閣,そかく
結界,けっかい
結納,ゆいのう
結膜,けつまく
結託,けったく
絞る,しぼる
絞首,こうしゅ
給仕,きゅうじ
絹,きぬ
絹糸,けんし
