Deutsch,Wortart,Thailändisch,Add Reverse
glücklich,Adj.,มีความสุข,y
groß,Adj.,ใหญ่,y
grün,Adj.,สีเขียว,y
Grüßen senden,V.,ส่งคำทักทาย,y
gucken,V.,จ้องมอง (g),y
günstig,Adj.,(ราคา)ถูก [มีความคุ้มค่า],y
halb,Adj.,ครึ่งหนึ่ง,y
halten,V.,หยุด (h),y
hängen,V.,แขวน,y
hassen,V.,เกลียดชัง,y
heimfahren,V.,กลับบ้าน (ไปบ้าน),y
heimlich,Adj.,ที่เป็นความลับ,y
heiraten,V.,แต่งงาน,y
heiß,Adj.,ร้อน,y
hektisch,Adj.,ใจร้อน เร่งรีบ,y
helfen,V.,ช่วยเหลือ,y
hell,Adj.,สว่าง,y
herausfinden,V.,ค้นพบ พบว่า ได้รู้เรื่อง,y
herausholen,V.,เอาออก เอาออกมา,y
herein,Adv.,ด้านใน (นี้),
herkommen,V.,มาที่นี่,y
hervor,Adv.,มาข้างหน้า ไปทางข้างหน้า,y
herzen,V.,กอด (แน่น),y
herzlich,Adj.,จากใจ อย่างเป็นมิตร,y
heute,Adv.,วันนี้,y
hinein,Adv.,ข้างใน เข้าไปข้างใน (นั้น),y
hineingehen,V.,เข้าไปข้างใน (~g),y
hinfahren,V.,ไปที่นั่น,y
hinfallen,V.,ล้มลง,y
hinten,Adv.,ที่ด้านหลัง,y
hinter,Präp.,ด้านหลัง,y
hin und her,,ไป ๆ มา ๆ,y
hinwollen,V.,ตั้งใจจะไป,y
hoffentlich,Adv.,หวังเป็นอย่างยิ่ง,y
höflich,Adj.,สุภาพ,y
holen,V.,ถือ เอามา เรียก พามา,y
hören,V.,ได้ยิน,y
hübsch,Adj.,น่ารัก,y
hundert,num.,ร้อย,y
im Internet surfen,V.,เล่นอินเทอร์เน็ต,y
im Kreis drehen,,หันหลัง กลับหลังหัน,y
immer,Adv.,เสมอ ๆ,y
im Stress sein,V.,เครียด,y
in Bett gehen,V.,ไปนอน,y
in den Abfall werfen,V.,ทิ้งขยะ ทิ้งลงถังขยะ,y
informieren,V.,ให้ข้อมูล,y
in Ordnung,,โอเค ปกติดี,y
inzwischen,Adv.,ในขณะนั้น (en: meanwhile),y
irgendwie,Adv.,ไม่ทางใดก็ทางหนึ่ง (en: somehow),y
jemand,pron.,ใครบางคน สักคน,y
joggen,V.,วิ่งออกกำลังกาย,y
kalt,Adj.,หนาว,y
kaputt,Adj.,พัง ชำรุด,y
kaufen,V.,ซื้อ,y
kennen,V.,รู้ รู้จัก,y
kennenlernen,V.,รู้จัก,y
klar,Adj.,แน่นอน ชัดเจน,y
klassisch,Adj.,แบบคลาสสิก,y
klein,Adj.,เล็ก สั้น,y
klingeln,V.,กดกริ่ง กระดิ่งดัง,y
kochen,V.,ทำอาหาร,y
