算盤,そろばん
節目,ふしめ
築く,きずく
簡潔,かんけつ
粒子,りゅうし
精製,せいせい
糸口,いとぐち
納める,おさめる
納税,のうぜい
紐,ひも
純真,じゅんしん
紛争,ふんそう
素朴,そぼく
細うで繁盛記,ほそうではんじょうき
終焉,しゅうえん
組織,そしき
組閣,そかく
結界,けっかい
結託,けったく
絞る,しぼる
給仕,きゅうじ
絹,きぬ
絹糸,けんし
維持,いじ
網戸,あみど
網羅,もうら
網膜,もうまく
綿毛,わたげ
緊迫,きんぱく
総括,そうかつ
緻密,ちみつ
縛る,しばる
縞,しま
縫う,ぬう
縮む,ちぢむ
繊細,せんさい
繊維,せんい
繰る,くる
罅,ひび
罠,わな
署名,しょめい
美辞麗句,びじれいく
群衆,ぐんしゅう
群青,ぐんじょう
羨望,せんぼう
老若男女,ろうにゃくなんにょ
考慮,こうりょ
耕す,たがやす
肉汁,にくじゅう
肋骨,ろっこつ
肝に銘じる,きもにめいじる
肥える,こえる
背面,はいめん
胡坐,あぐら
胡散臭い,うさんくさい
脅す,おどす
脆い,もろい
脆弱,ぜいじゃく
脚本,きゃくほん
脛,すね
脳卒中,のうそっちゅう
脳梗塞,のうこうそく
脳裏,のうり
膨らむ,ふくらむ
膨大,ぼうだい
膿,うみ
臆病,おくびょう
臨終,りんじゅう
自ずから,おのずから
興行,こうぎょう
色彩,しきさい
色褪せる,いろあせる
芽生える,めばえる
苛立つ,いらだつ
苦境,くきょう
苦汁,にがり
苦言,くげん
茂み,しげみ
莫大,ばくだい
華厳滝,けごんのたき
華奢,きゃしゃ
落胆,らくたん
落花生,らっかせい
著しい,いちじるしい
著者,ちょしゃ
葛藤,かっとう
蔓延,まんえん
蔵書,ぞうしょ
蕁麻疹,じんましん
薄膜,うすまく
薪,たきぎ
虚しい,むなしい
虫垂,ちゅうすい
蚕,かいこ
蚤,のみ
蛭,ひる
融資,ゆうし
融通,ゆうずう
蟹座,かにざ
蠍座,さそりざ
行事,ぎょうじ
衛生,えいせい
衝突,しょうとつ
衣,きぬ
衣替え,ころもがえ
表裏一体,ひょうりいったい
衰える,おとろえる
被爆,ひばく
補う,おぎなう
襟,えり
襲う,おそう
西表島,いりおもてじま
覆い隠す,おおいかくす
覆す,くつがえす
覚悟,かくご
覚醒,かくせい
親不孝,おやふこう
解く,とく、ほどく
解剖,かいぼう
解毒,げどく
言及,げんきゅう
言語道断,ごんごどうだん
討議,とうぎ
許容,きょよう
証す,しょうす
試み,こころみ
該当,がいとう
詳らか,つまびらか
誇らしい,ほこらしい
誇示,こじ
語頭,ごとう
誠意,せいい
読経,どきょう
誰彼,だれかれ
誹謗中傷,ひぼうちゅうしょう
論旨,ろんし
謳う,うたう
謳歌,おうか
謹む,つつしむ
謹慎,きんしん
護身,ごしん
護送車,ごそうしゃ
豊富,ほうふ
豪州,ごうしゅう
負担,ふたん
財宝,ざいほう
貢献,こうけん
貧しい,まずしい
貧困,ひんこん
貨幣,かへい
貪欲,どんよく
貫く,つらぬく
貯蓄,ちょちく
費やす,ついやす
賄賂,わいろ
資する,しする
賜る,たまわる
賢明,けんめい
質素,しっそ
赤道,せきどう
起因,きいん
超越,ちょうえつ
跪く,ひざまずく
跪座,きざ
踊り場,おどりば
踝,くるぶし
踠く,もがく
軌道,きどう
軒並み,のきなみ
軒先,のきさき
軽んじる,かろんじる
輪っか,わっか
輸血,ゆけつ
辿る,たどる
迂回路,うかいろ
迅速,じんそく
迫る,せまる
述語,じゅつご
迸る,ほとばしる
退ける（!ど!の）,しりぞける
退治,たいじ
逆らう,さからう
逆境,ぎゃっきょう
透ける,すける
造船,ぞうせん
造詣,ぞうけい
逸れる,それる
逸話,いつわ
遊学,ゆうがく
過剰,かじょう
過疎,かそ
遮る,さえぎる
遮断,しゃだん
遷移,せんい
酔客,すいきゃく
醸し出す,かもしだす
重畳,ちょうじょう
重篤,じゅうとく
金槌,かなづち
金縛り,かなしばり
金融,きんゆう
鉄棒,てつぼう
鉤括弧,かぎかっこ
鉱脈,こうみゃく
銅鑼,どら
鋼,はがね
鋼鉄,こうてつ
錠前,じょうまえ
錠剤,じょうざい
鍔,つば
鍛錬,たんれん
鍬,くわ
鎧,よろい
長良川,ながらがわ
長針,ちょうしん
閏,うるう
間取り,まどり
間引く,まびく
間隔,かんかく
闇市,やみいち
防ぐ,ふせぐ
阻止,そし
降参,こうさん
降順,こうじゅん
陣営,じんえい
陥る,おちいる
陥落,かんらく
際立つ,きわだつ
隠蔽,いんぺい
集う,つどう
雑木林,ぞうきばやし
雑然,ざつぜん
雑穀,ざっこく
雑草,ざっそう
零細,れいさい
電柱,でんちゅう
電磁波,でんじは
需要,じゅよう
霜,しも
露,つゆ
青酸,せいさん
面従腹背,めんじゅうふくはい
革新,かくしん
鞭,むち
預金,よきん
領空侵犯,りょうくうしんぱん
頭蓋骨,ずがいこつ
顎,あご
顎関節,がくかんせつ
類似,るいじ
顧みる,かえりみる
風潮,ふうちょう
風靡,ふうび
飴,あめ
養う,やしなう
養蚕,ようさん
館,やかた
饒舌,じょうぜつ
駆除,くじょ
驚愕,きょうがく
高潔,こうけつ
鬼門,きもん
魚の棚,うおのたな
魚座,うおざ
鱗,うろこ
鳶,とんび
